exponent,min_runtime_old,min_runtime_new
1994,0.00088644000061322,0.00014619000285165384
1995,0.0006903500034241006,0.00012198999320389703
1996,0.000893951000762172,0.00013734000094700605
1997,0.0008999799974844791,0.00012948000221513212
1998,0.0008625999980722554,0.00012728000001516193
1999,0.0012979999955859967,0.00012745099957101047
2000,0.000727099999494385,0.0001591500040376559
2001,0.000756918998376932,0.00017791899881558493
2002,0.0007397299996227957,0.00011674000415951014
2003,0.000759549999202136,0.00011967000318691134
2004,0.0007169499949668534,0.00011652000102913007
2005,0.000747009995393455,0.00012106999929528683
2006,0.0012799100004485808,0.00011945000005653128
2007,0.0007156600040616468,0.00011963999713771045
2008,0.0007981000017025508,0.00011696900037350133
2009,0.0007476400060113519,0.00012611899728653952
2010,0.0007919700001366436,0.00011558899859664962
2011,0.0005214900011196733,0.00011946999438805506
2012,0.00073644000076456,0.00011906999861821532
2013,0.0007235599987325259,0.00012051899830112234
2014,0.0006934799966984428,0.00011783000081777573
2015,0.0006664899992756546,0.0001313700049649924
2016,0.0008123899970087223,0.00011885999992955476
2017,0.0007703899973421358,0.002269149998028297
2018,0.0007643499993719161,0.00012078999861842021
2019,0.0008539310001651756,0.00015544000052614138
2020,0.0007614300047862343,0.00012085000344086438
2021,0.004462220000277739,0.00013439000031212345
2022,0.0008443999977316707,0.00015112999972188845
2023,0.0007993399995029904,0.000166090001584962
2024,0.0006927400027052499,0.0001586500002304092
2025,0.0010965600013150834,0.00012234000314492732
2026,0.0006946700013941154,0.0407910770009039
2027,0.0007604589991387911,0.00013765999756287783
2028,0.0029543599957833067,0.00020202000450808555
2029,0.0007247899993672036,0.00012258000060683116
2030,0.0007136400017770939,0.00012260000221431255
2031,0.000731700005417224,0.0001254599992535077
2032,0.0007465309972758405,0.00012371999764582142
2033,0.0007189199968706816,0.00014307000674307346
2034,0.0007671099956496619,0.00012542000331450254
2035,0.0007379210001090541,0.00012342000263743103
2036,0.0007634110006620176,0.00013673999637831002
2037,0.0007681399947614409,0.00012300999514991418
2038,0.0007088100028340705,0.00012863000301877037
2039,0.002185030003602151,0.00013619999663205817
2040,0.0007456999956048094,0.00012861999857705086
2041,0.0007036189999780618,0.00013839000166626647
2042,0.0008231300016632304,0.0001293500026804395
2043,0.000817888998426497,0.00012890999641967937
2044,0.000804659997811541,0.00012465000327210873
2045,0.0008829299986246042,0.00012602000060724095
2046,0.000751319996197708,0.00012546000652946532
2047,0.0007130699959816411,0.00013546000263886526
2048,0.0008002100003068335,0.0001339800001005642
2049,0.000812810001662001,0.0002265899966005236
2050,0.0006814000007580034,0.0001597700029378757
2051,0.0015929700020933524,0.00014446999557549134
2052,0.0008317399988300167,0.0001200400001835078
2053,0.0007667789977858774,0.00012091999815311283
2054,0.018401408997306135,0.00012478000280680135
2055,0.0007429800025420263,0.00014322999777505174
2056,0.0007708999983151443,0.000125249003758654
2057,0.0007682599971303716,0.0007233199939946644
2058,0.0007841800033929758,0.00010581900278339162
2059,0.0006010599972796626,0.00011070100299548358
2060,0.0008022000038181432,0.0005148299969732761
2061,0.004034138997667469,0.00012585999502334744
2062,0.0007067699989420362,0.0001545999984955415
2063,0.000737620001018513,0.00012506000348366797
2064,0.000707690000126604,0.000127500003145542
2065,0.0006589609984075651,0.00012581899500219151
2066,0.001839088996348437,0.00012464100291254
2067,0.0007559299992863089,0.000129039995954372
2068,0.0007315390030271374,0.00015675999748054892
2069,0.0007433200007653795,0.00012919999426230788
2070,0.0007180799948400818,0.00012535999849205837
2071,0.0007560000012745149,0.00017488000594312325
2072,0.0015836210004636087,0.0009988499950850382
2073,0.0036067199980607256,0.000127350002003368
2074,0.0007238600010168739,0.00011272999836364761
2075,0.0007666699966648594,0.00012508999498095363
